Timestamp,"1. Mobile app privacy is about a user’s right to exercise control over decisions about how their information is collected, used, and shared.",2. User control of personal information is essential to mobile app privacy. ,3. I believe that mobile app privacy is compromised when the user loses control over their information as a result of app usage.,4. I’m not concerned that smartphone apps are collecting too much personal information about me.,"1. Mobile app developers seeking information should disclose the way the data are collected, processed, and used.",2. A good mobile app privacy policy should have a clear and conspicuous disclosure.,3. It is very important to me that I am aware and knowledgeable about how my personal information will be used.,1. It usually bothers me when smartphone apps ask me for personal information.,"2. When mobile apps ask me for personal information, I sometimes think twice before providing it.",3. It bothers me to give personal information to so many mobile apps.,4. I’m concerned that smartphone apps are collecting too much personal information about me.,1. Mobile apps should not use personal information for any purpose unless it has been authorized by the individuals who provided information.,"2. When people give personal information to a mobile app for some reason, the app developer should never use the information for any other reason.",3. Mobile app developers should never sell the personal information in their computer databases to other companies.,4. Mobile app developers should never share personal information with other companies unless it has been authorized by the individual who provided the information.,Your MTurk worker ID.
11/26/2019 13:17:46,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,A1IZ4NX41GKU4X
11/26/2019 13:18:12,Disagree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A14I3K8UN3612X
11/26/2019 13:18:33,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,ABMPX2Y2IRBMG
11/26/2019 13:18:58,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A3DS5B06ZCD3E3
11/26/2019 13:19:22,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,A25OEVVN0293PO
11/26/2019 13:19:25,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,A1SWRO4LMKPCOQ
11/26/2019 13:20:02,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,A2341KCW7BI2NS
11/26/2019 13:20:15,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,AYBYMDBEBK5Z
11/26/2019 13:20:24,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,A16TESTJICU76L
11/26/2019 13:20:34,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,AZNIEFUIVB2H0
11/26/2019 13:20:38,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,A37S96RT1P1IT2
11/26/2019 13:20:42,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,A19F9CLZ0XWBYR
11/26/2019 13:20:59,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,A2ET3KM3IE33MM
11/26/2019 13:21:05,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,AIPHJXQEDNW9L
11/26/2019 13:21:08,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,AZ9BZONG644TU
11/26/2019 13:21:09,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,A1EUBMQ86K32XE
11/26/2019 13:21:15,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,AFDC9A6Z60W2Z
11/26/2019 13:21:18,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A35D31QHYQUF9V
11/26/2019 13:21:22,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A2FBT0BSFOV91D
11/26/2019 13:21:27,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,A12R2U6TBB3OOG
11/26/2019 13:21:36,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A2NJ7N8INZOB00
11/26/2019 13:22:17,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A27W025UEXS1G0
11/26/2019 13:22:37,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,AA5OOUN82FYES
11/26/2019 13:22:56,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,A21EZISIJ3JPSW
11/26/2019 13:23:14,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,A149ROBL26JWPJ
11/26/2019 13:23:17,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,ACGHHDT7RY1AH
11/26/2019 13:23:22,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,A3696JXTRKL2FI
11/26/2019 13:23:24,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,ACGZDI611LU0I
11/26/2019 13:23:33,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,A1IHI23KH87K5W
11/26/2019 13:23:55,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A1NOINYD1FZ55T
11/26/2019 13:24:15,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A20NITCOBY4775
11/26/2019 13:24:33,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,A10LLZZHZVGWRW
11/26/2019 13:24:36,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,A3L3ZFL1NYFTCF
11/26/2019 13:25:02,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A3RQN5RZD1N2KP
11/26/2019 13:25:11,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,AVFHRN0S32V2H
11/26/2019 13:25:24,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A27SMEOPKV84VI
11/26/2019 13:25:53,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,A3F90N8YVKJ4I7
11/26/2019 13:26:20,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,A266LNUJOVKCDS
11/26/2019 13:26:33,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A2EA2PN47ZWILX
11/26/2019 13:26:34,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A19ED8FYO6CA36
11/26/2019 13:26:56,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,A27MJOV91GA8R3
11/26/2019 13:27:44,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,A1PJLZSOUQ4MIL
11/26/2019 13:27:50,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A273DS7TQWR9M1
11/26/2019 13:27:57,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,A3V9JFVZQ2XF4Y
11/26/2019 13:27:58,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A2MKXI4KCRRI7Y
11/26/2019 13:28:07,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,A2PXJTMWGUE5DC
11/26/2019 13:28:21,Agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,A31XNLA9REVGXL
11/26/2019 13:28:38,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A1R5W4RQZTROD8
11/26/2019 13:28:48,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A1YSYI926BBOHW
11/26/2019 13:29:04,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A359ETX78LN74M
11/26/2019 13:29:16,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,A38DC3BG1ZCVZ2
11/26/2019 13:29:34,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,A2OJ5XOEKTKRR9
11/26/2019 13:29:53,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,A1ZRK6K5JUPJAV
11/26/2019 13:29:55,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,ARVXIBUCA8WDZ
11/26/2019 13:31:22,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A8TIL9U6YHG5
11/26/2019 13:31:29,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,AY1CM9ZI774II
11/26/2019 13:33:09,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,AYJGQBBK6KXZ7
11/26/2019 13:33:24,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,A2DQPRIY1W73NY
11/26/2019 13:33:43,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A3KCUB6P3IE8NL
11/26/2019 13:34:11,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,A2EI075XZT9Y2S
11/26/2019 13:34:18,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,ARZEZGD9TYK3Q
11/26/2019 13:34:20,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A2QD9PJUKW7PKK
11/26/2019 13:34:37,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A1MJHGH55K3O0
11/26/2019 13:34:38,Agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,ASB8T0H7L99RF
11/26/2019 13:39:53,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,A2APPZDU0VS9LN
11/26/2019 13:42:49,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,A1J8TVICSRC70W
11/26/2019 13:42:50,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A26UIS59SY4NM6
11/26/2019 13:45:36,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,A1G10UPKNT2YEX
11/26/2019 13:46:30,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A1FGN2JF4LCF9B
11/26/2019 13:48:47,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A18G2CLYSTENK
11/26/2019 13:49:08,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A24LC97AU3QC7G
11/26/2019 13:49:56,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A1C59M3HPCO503
11/26/2019 13:51:41,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A3LRZX8477TYYZ
11/26/2019 13:52:36,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A207IHY6GERCFO
11/26/2019 13:52:55,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,A3862RIFFUV141
11/26/2019 13:55:09,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A87D3K9YVKTQ7
11/26/2019 13:56:46,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A2JCK494NV7TFX
11/26/2019 13:57:52,Agree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,A3GZYWA9S6J0K9
11/26/2019 13:58:02,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,A1T79J0XQXDDGC
11/26/2019 13:59:19,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,A1CFMY4CEYOM8Y
11/26/2019 13:59:22,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,A3UV55HC87DO9C
11/26/2019 14:00:16,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A365SN61J4UNGR
11/26/2019 14:01:03,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,AKSJ3C5O3V9RB
11/26/2019 14:02:07,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,A2ZUCKYJE4DPV7
11/26/2019 14:22:27,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,A2NT3OQZUUZPEO
11/26/2019 14:40:54,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A1153ZIEQX0ZJ8
11/26/2019 14:41:29,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A6U5ZHN5Y953Q
11/26/2019 14:50:04,Agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,A272A0JGRTBFCR
